timestep,date,node,S,E,I,R
49,2019-02-19,12,500,0,0,6882
49,2019-02-19,13,736,0,0,10963
50,2019-02-20,0,86,0,0,2481
50,2019-02-20,1,71,0,0,1747
50,2019-02-20,2,123,0,0,2341
50,2019-02-20,3,298,0,0,3985
50,2019-02-20,4,482,0,0,6592
50,2019-02-20,5,271,0,0,3518
50,2019-02-20,6,630,0,0,9630
50,2019-02-20,7,630,0,0,10579
50,2019-02-20,8,571,0,0,8882
50,2019-02-20,9,400,0,0,9141
50,2019-02-20,10,168,0,0,3805
50,2019-02-20,11,428,0,0,7155
50,2019-02-20,12,500,0,0,6882
50,2019-02-20,13,736,0,0,10961
51,2019-02-21,0,86,0,0,2481
51,2019-02-21,1,71,0,0,1747
51,2019-02-21,2,123,0,0,2341
51,2019-02-21,3,298,0,0,3985
51,2019-02-21,4,482,0,0,6592
51,2019-02-21,5,271,0,0,3518
51,2019-02-21,6,630,0,0,9630
51,2019-02-21,7,630,0,0,10578
51,2019-02-21,8,571,0,0,8882
51,2019-02-21,9,400,0,0,9141
51,2019-02-21,10,168,0,0,3805
51,2019-02-21,11,428,0,0,7155
51,2019-02-21,12,500,0,0,6882
51,2019-02-21,13,736,0,0,10961
52,2019-02-22,0,86,0,0,2481
52,2019-02-22,1,71,0,0,1747
52,2019-02-22,2,123,0,0,2341
52,2019-02-22,3,298,0,0,3985
52,2019-02-22,4,482,0,0,6592
52,2019-02-22,5,271,0,0,3518
52,2019-02-22,6,630,0,0,9630
52,2019-02-22,7,630,0,0,10578
52,2019-02-22,8,571,0,0,8881
52,2019-02-22,9,400,0,0,9140
52,2019-02-22,10,168,0,0,3805
52,2019-02-22,11,428,0,0,7154
52,2019-02-22,12,500,0,0,6882
52,2019-02-22,13,736,0,0,10961
53,2019-02-23,0,86,0,0,2481
53,2019-02-23,1,71,0,0,1747
53,2019-02-23,2,123,0,0,2341
53,2019-02-23,3,298,0,0,3985
53,2019-02-23,4,482,0,0,6591
53,2019-02-23,5,271,0,0,3518
53,2019-02-23,6,630,0,0,9629
53,2019-02-23,7,630,0,0,10577
53,2019-02-23,8,571,0,0,8881
53,2019-02-23,9,400,0,0,9140
53,2019-02-23,10,168,0,0,3804
53,2019-02-23,11,428,0,0,7154
53,2019-02-23,12,500,0,0,6882
53,2019-02-23,13,736,0,0,10961
54,2019-02-24,0,86,0,0,2481
54,2019-02-24,1,71,0,0,1747
54,2019-02-24,2,123,0,0,2341
54,2019-02-24,3,298,0,0,3985
54,2019-02-24,4,482,0,0,6591
54,2019-02-24,5,271,0,0,3518
54,2019-02-24,6,630,0,0,9629
54,2019-02-24,7,630,0,0,10577
54,2019-02-24,8,571,0,0,8881
54,2019-02-24,9,400,0,0,9140
54,2019-02-24,10,168,0,0,3804
54,2019-02-24,11,428,0,0,7154
54,2019-02-24,12,500,0,0,6882
54,2019-02-24,13,736,0,0,10961
55,2019-02-25,0,86,0,0,2481
55,2019-02-25,1,71,0,0,1747
55,2019-02-25,2,123,0,0,2341
55,2019-02-25,3,298,0,0,3985
55,2019-02-25,4,482,0,0,6591
55,2019-02-25,5,271,0,0,3517
55,2019-02-25,6,630,0,0,9629
55,2019-02-25,7,630,0,0,10577
55,2019-02-25,8,571,0,0,8881
55,2019-02-25,9,400,0,0,9140
55,2019-02-25,10,168,0,0,3804
55,2019-02-25,11,428,0,0,7154
55,2019-02-25,12,500,0,0,6881
55,2019-02-25,13,736,0,0,10961
56,2019-02-26,0,86,0,0,2481
56,2019-02-26,1,71,0,0,1747
56,2019-02-26,2,123,0,0,2341
56,2019-02-26,3,291,0,0,3964
56,2019-02-26,4,483,0,0,6591
56,2019-02-26,5,271,0,0,3517
56,2019-02-26,6,634,0,0,9629
56,2019-02-26,7,633,0,0,10578
56,2019-02-26,8,575,0,0,8881
56,2019-02-26,9,403,0,0,9141
56,2019-02-26,10,169,0,0,3804
56,2019-02-26,11,431,0,0,7153
56,2019-02-26,12,502,0,0,6881
56,2019-02-26,13,740,0,0,10961
57,2019-02-27,0,86,0,0,2481
57,2019-02-27,1,71,0,0,1747
57,2019-02-27,2,123,0,0,2341
57,2019-02-27,3,291,0,0,3963
57,2019-02-27,4,483,0,0,6591
57,2019-02-27,5,271,0,0,3517
57,2019-02-27,6,634,0,0,9629
57,2019-02-27,7,633,0,0,10578
57,2019-02-27,8,575,0,0,8881
57,2019-02-27,9,403,0,0,9141
57,2019-02-27,10,169,0,0,3804
57,2019-02-27,11,431,0,0,7153
57,2019-02-27,12,502,0,0,6881
57,2019-02-27,13,740,0,0,10960
58,2019-02-28,0,86,0,0,2480
58,2019-02-28,1,71,0,0,1747
58,2019-02-28,2,123,0,0,2341
58,2019-02-28,3,291,0,0,3963
58,2019-02-28,4,483,0,0,6591
58,2019-02-28,5,271,0,0,3517
58,2019-02-28,6,634,0,0,9628
58,2019-02-28,7,633,0,0,10577
58,2019-02-28,8,575,0,0,8881
58,2019-02-28,9,403,0,0,9141
58,2019-02-28,10,169,0,0,3804
58,2019-02-28,11,431,0,0,7153
58,2019-02-28,12,502,0,0,6880
58,2019-02-28,13,740,0,0,10960
59,2019-03-01,0,86,0,0,2480
59,2019-03-01,1,71,0,0,1747
59,2019-03-01,2,123,0,0,2340
59,2019-03-01,3,291,0,0,3963
59,2019-03-01,4,483,0,0,6590
59,2019-03-01,5,271,0,0,3517
59,2019-03-01,6,634,0,0,9628
59,2019-03-01,7,633,0,0,10577
59,2019-03-01,8,575,0,0,8881
59,2019-03-01,9,403,0,0,9139
59,2019-03-01,10,169,0,0,3804
59,2019-03-01,11,431,0,0,7153
59,2019-03-01,12,502,0,0,6880
59,2019-03-01,13,740,0,0,10960
60,2019-03-02,0,86,0,0,2480
60,2019-03-02,1,71,0,0,1747
60,2019-03-02,2,123,0,0,2340
60,2019-03-02,3,291,0,0,3963
60,2019-03-02,4,483,0,0,6590
60,2019-03-02,5,271,0,0,3517
60,2019-03-02,6,634,0,0,9628
60,2019-03-02,7,633,0,0,10577
60,2019-03-02,8,575,0,0,8880
60,2019-03-02,9,403,0,0,9139
60,2019-03-02,10,169,0,0,3804
60,2019-03-02,11,431,0,0,7153
60,2019-03-02,12,502,0,0,6880
60,2019-03-02,13,740,0,0,10960
61,2019-03-03,0,86,0,0,2480
61,2019-03-03,1,71,0,0,1747
61,2019-03-03,2,123,0,0,2340
61,2019-03-03,3,291,0,0,3963
61,2019-03-03,4,483,0,0,6590
61,2019-03-03,5,271,0,0,3517
61,2019-03-03,6,634,0,0,9628
61,2019-03-03,7,633,0,0,10577
61,2019-03-03,8,575,0,0,8880
61,2019-03-03,9,403,0,0,9139
61,2019-03-03,10,169,0,0,3804
61,2019-03-03,11,431,0,0,7153
61,2019-03-03,12,502,0,0,6880
61,2019-03-03,13,740,0,0,10960
62,2019-03-04,0,86,0,0,2480
62,2019-03-04,1,71,0,0,1747
62,2019-03-04,2,123,0,0,2340
62,2019-03-04,3,291,0,0,3963
62,2019-03-04,4,483,0,0,6590
62,2019-03-04,5,271,0,0,3516
62,2019-03-04,6,634,0,0,9628
62,2019-03-04,7,633,0,0,10577
62,2019-03-04,8,575,0,0,8880
62,2019-03-04,9,403,0,0,9139
62,2019-03-04,10,169,0,0,3804
62,2019-03-04,11,431,0,0,7153
62,2019-03-04,12,502,0,0,6880
62,2019-03-04,13,740,0,0,10960
63,2019-03-05,0,86,0,0,2480
63,2019-03-05,1,71,0,0,1747
63,2019-03-05,2,123,0,0,2340
63,2019-03-05,3,289,0,0,3937
63,2019-03-05,4,485,0,0,6590
63,2019-03-05,5,272,0,0,3516
63,2019-03-05,6,638,0,0,9628
63,2019-03-05,7,637,0,0,10577
63,2019-03-05,8,579,0,0,8880
63,2019-03-05,9,406,0,0,9139
63,2019-03-05,10,170,0,0,3804
63,2019-03-05,11,433,0,0,7153
63,2019-03-05,12,505,0,0,6880
63,2019-03-05,13,744,0,0,10959
64,2019-03-06,0,86,0,0,2479
64,2019-03-06,1,71,0,0,1747
64,2019-03-06,2,123,0,0,2340
64,2019-03-06,3,289,0,0,3937
64,2019-03-06,4,485,0,0,6589
64,2019-03-06,5,272,0,0,3516
64,2019-03-06,6,638,0,0,9627
64,2019-03-06,7,637,0,0,10576
64,2019-03-06,8,579,0,0,8879
64,2019-03-06,9,406,0,0,9139
64,2019-03-06,10,170,0,0,3804
64,2019-03-06,11,433,0,0,7153
64,2019-03-06,12,505,0,0,6880
64,2019-03-06,13,744,0,0,10959
65,2019-03-07,0,86,0,0,2479
65,2019-03-07,1,71,0,0,1747
65,2019-03-07,2,123,0,0,2340
65,2019-03-07,3,289,0,0,3937
65,2019-03-07,4,485,0,0,6589
65,2019-03-07,5,272,0,0,3516
65,2019-03-07,6,638,0,0,9626
65,2019-03-07,7,637,0,0,10576
65,2019-03-07,8,579,0,0,8879
65,2019-03-07,9,406,0,0,9139
65,2019-03-07,10,170,0,0,3804
65,2019-03-07,11,433,0,0,7152
65,2019-03-07,12,505,0,0,6880
65,2019-03-07,13,744,0,0,10959
66,2019-03-08,0,86,0,0,2479
66,2019-03-08,1,71,0,0,1747
66,2019-03-08,2,123,0,0,2340
66,2019-03-08,3,289,0,0,3937
66,2019-03-08,4,485,0,0,6588
66,2019-03-08,5,272,0,0,3515
66,2019-03-08,6,638,0,0,9626
66,2019-03-08,7,637,0,0,10576
66,2019-03-08,8,579,0,0,8879
66,2019-03-08,9,406,0,0,9139
66,2019-03-08,10,170,0,0,3804
66,2019-03-08,11,433,0,0,7152
66,2019-03-08,12,505,0,0,6880
66,2019-03-08,13,744,0,0,10958
67,2019-03-09,0,86,0,0,2479
67,2019-03-09,1,71,0,0,1746
67,2019-03-09,2,123,0,0,2340
67,2019-03-09,3,289,0,0,3936
67,2019-03-09,4,485,0,0,6588
67,2019-03-09,5,272,0,0,3515
67,2019-03-09,6,638,0,0,9626
67,2019-03-09,7,637,0,0,10576
67,2019-03-09,8,579,0,0,8878
67,2019-03-09,9,406,0,0,9138
67,2019-03-09,10,170,0,0,3804
67,2019-03-09,11,433,0,0,7152
67,2019-03-09,12,505,0,0,6880
67,2019-03-09,13,744,0,0,10958
68,2019-03-10,0,86,0,0,2479
68,2019-03-10,1,71,0,0,1746
68,2019-03-10,2,123,0,0,2340
68,2019-03-10,3,289,0,0,3936
68,2019-03-10,4,485,0,0,6588
68,2019-03-10,5,272,0,0,3515
68,2019-03-10,6,638,0,0,9626
68,2019-03-10,7,637,0,0,10576
68,2019-03-10,8,579,0,0,8878
68,2019-03-10,9,406,0,0,9138
68,2019-03-10,10,170,0,0,3804
68,2019-03-10,11,433,0,0,7152
68,2019-03-10,12,505,0,0,6879
68,2019-03-10,13,744,0,0,10958
69,2019-03-11,0,86,0,0,2479
69,2019-03-11,1,71,0,0,1746
69,2019-03-11,2,123,0,0,2339
69,2019-03-11,3,289,0,0,3936
69,2019-03-11,4,485,0,0,6588
69,2019-03-11,5,272,0,0,3515
69,2019-03-11,6,638,0,0,9626
69,2019-03-11,7,637,0,0,10576
69,2019-03-11,8,579,0,0,8878
69,2019-03-11,9,406,0,0,9138
69,2019-03-11,10,170,0,0,3804
69,2019-03-11,11,433,0,0,7152
69,2019-03-11,12,505,0,0,6879
69,2019-03-11,13,744,0,0,10957
70,2019-03-12,0,87,0,0,2478
70,2019-03-12,1,71,0,0,1746
70,2019-03-12,2,124,0,0,2339
70,2019-03-12,3,284,0,0,3913
70,2019-03-12,4,487,0,0,6587
70,2019-03-12,5,273,0,0,3515
70,2019-03-12,6,640,0,0,9626
70,2019-03-12,7,641,0,0,10575
70,2019-03-12,8,583,0,0,8876
70,2019-03-12,9,409,0,0,9138
70,2019-03-12,10,171,0,0,3804
70,2019-03-12,11,434,0,0,7153
70,2019-03-12,12,506,0,0,6880
70,2019-03-12,13,746,0,0,10959
71,2019-03-13,0,87,0,0,2478
71,2019-03-13,1,71,0,0,1746
71,2019-03-13,2,124,0,0,2338
71,2019-03-13,3,284,0,0,3913
71,2019-03-13,4,487,0,0,6587
71,2019-03-13,5,273,0,0,3515
71,2019-03-13,6,640,0,0,9626
71,2019-03-13,7,641,0,0,10574
71,2019-03-13,8,583,0,0,8876
71,2019-03-13,9,409,0,0,9138
71,2019-03-13,10,171,0,0,3803
71,2019-03-13,11,434,0,0,7153
71,2019-03-13,12,506,0,0,6880
71,2019-03-13,13,746,0,0,10959
72,2019-03-14,0,87,0,0,2478
72,2019-03-14,1,71,0,0,1746
72,2019-03-14,2,124,0,0,2338
72,2019-03-14,3,284,0,0,3913
72,2019-03-14,4,487,0,0,6587
72,2019-03-14,5,273,0,0,3515
72,2019-03-14,6,640,0,0,9626
72,2019-03-14,7,641,0,0,10574
72,2019-03-14,8,583,0,0,8876
72,2019-03-14,9,409,0,0,9138
72,2019-03-14,10,171,0,0,3803
72,2019-03-14,11,434,0,0,7153
72,2019-03-14,12,506,0,0,6880
72,2019-03-14,13,746,0,0,10959
73,2019-03-15,0,87,0,0,2478
73,2019-03-15,1,71,0,0,1746
73,2019-03-15,2,124,0,0,2338
73,2019-03-15,3,284,0,0,3913
73,2019-03-15,4,487,0,0,6587
73,2019-03-15,5,273,0,0,3515
73,2019-03-15,6,640,0,0,9626
73,2019-03-15,7,641,0,0,10574
73,2019-03-15,8,583,0,0,8876
73,2019-03-15,9,409,0,0,9138
73,2019-03-15,10,171,0,0,3803
73,2019-03-15,11,434,0,0,7153
73,2019-03-15,12,506,0,0,6880
73,2019-03-15,13,746,0,0,10959
74,2019-03-16,0,87,0,0,2478
74,2019-03-16,1,71,0,0,1746
74,2019-03-16,2,124,0,0,2338
74,2019-03-16,3,284,0,0,3913
74,2019-03-16,4,487,0,0,6587
74,2019-03-16,5,273,0,0,3515
74,2019-03-16,6,640,0,0,9626
74,2019-03-16,7,641,0,0,10574
74,2019-03-16,8,583,0,0,8875
74,2019-03-16,9,409,0,0,9137
74,2019-03-16,10,171,0,0,3803
74,2019-03-16,11,434,0,0,7153
74,2019-03-16,12,506,0,0,6880
74,2019-03-16,13,746,0,0,10959
75,2019-03-17,0,87,0,0,2478
75,2019-03-17,1,71,0,0,1746
75,2019-03-17,2,124,0,0,2338
75,2019-03-17,3,284,0,0,3913
75,2019-03-17,4,487,0,0,6587
75,2019-03-17,5,273,0,0,3515
75,2019-03-17,6,640,0,0,9626
75,2019-03-17,7,641,0,0,10574
75,2019-03-17,8,583,0,0,8875
75,2019-03-17,9,409,0,0,9137
75,2019-03-17,10,171,0,0,3803
75,2019-03-17,11,434,0,0,7152
75,2019-03-17,12,506,0,0,6880
75,2019-03-17,13,746,0,0,10958
76,2019-03-18,0,87,0,0,2478
76,2019-03-18,1,71,0,0,1746
76,2019-03-18,2,124,0,0,2338
76,2019-03-18,3,284,0,0,3912
76,2019-03-18,4,487,0,0,6586
76,2019-03-18,5,273,0,0,3515
76,2019-03-18,6,640,0,0,9625
76,2019-03-18,7,641,0,0,10574
76,2019-03-18,8,583,0,0,8875
76,2019-03-18,9,409,0,0,9137
76,2019-03-18,10,171,0,0,3803
76,2019-03-18,11,434,0,0,7152
76,2019-03-18,12,506,0,0,6880
76,2019-03-18,13,746,0,0,10958
77,2019-03-19,0,87,0,0,2478
77,2019-03-19,1,71,0,0,1746
77,2019-03-19,2,124,0,0,2338
77,2019-03-19,3,280,0,0,3888
77,2019-03-19,4,489,0,0,6586
77,2019-03-19,5,274,0,0,3514
77,2019-03-19,6,643,0,0,9625
77,2019-03-19,7,645,0,0,10573
77,2019-03-19,8,587,0,0,8875
77,2019-03-19,9,412,0,0,9136
77,2019-03-19,10,173,0,0,3803
77,2019-03-19,11,437,0,0,7152
77,2019-03-19,12,508,0,0,6879
77,2019-03-19,13,750,0,0,10958
78,2019-03-20,0,87,0,0,2478
78,2019-03-20,1,71,0,0,1746
78,2019-03-20,2,124,0,0,2338
78,2019-03-20,3,280,0,0,3888
78,2019-03-20,4,489,0,0,6586
78,2019-03-20,5,274,0,0,3514
78,2019-03-20,6,643,0,0,9625
78,2019-03-20,7,645,0,0,10573
78,2019-03-20,8,587,0,0,8875
78,2019-03-20,9,412,0,0,9136
78,2019-03-20,10,173,0,0,3803
78,2019-03-20,11,437,0,0,7151
78,2019-03-20,12,508,0,0,6879
78,2019-03-20,13,750,0,0,10958
79,2019-03-21,0,87,0,0,2478
79,2019-03-21,1,71,0,0,1746
79,2019-03-21,2,124,0,0,2338
79,2019-03-21,3,280,0,0,3888
79,2019-03-21,4,489,0,0,6586
79,2019-03-21,5,274,0,0,3514
79,2019-03-21,6,643,0,0,9625
79,2019-03-21,7,645,0,0,10573
79,2019-03-21,8,587,0,0,8875
79,2019-03-21,9,412,0,0,9135
79,2019-03-21,10,173,0,0,3803
79,2019-03-21,11,437,0,0,7151
79,2019-03-21,12,508,0,0,6879
79,2019-03-21,13,750,0,0,10958
80,2019-03-22,0,87,0,0,2478
80,2019-03-22,1,71,0,0,1746
80,2019-03-22,2,124,0,0,2338
80,2019-03-22,3,280,0,0,3888
80,2019-03-22,4,489,0,0,6586
80,2019-03-22,5,274,0,0,3514
80,2019-03-22,6,643,0,0,9625
80,2019-03-22,7,645,0,0,10573
80,2019-03-22,8,587,0,0,8875
80,2019-03-22,9,412,0,0,9135
80,2019-03-22,10,173,0,0,3803
80,2019-03-22,11,437,0,0,7151
80,2019-03-22,12,508,0,0,6879
80,2019-03-22,13,750,0,0,10958
81,2019-03-23,0,87,0,0,2477
81,2019-03-23,1,71,0,0,1746
81,2019-03-23,2,124,0,0,2338
81,2019-03-23,3,280,0,0,3888
81,2019-03-23,4,489,0,0,6586
81,2019-03-23,5,274,0,0,3514
81,2019-03-23,6,643,0,0,9624
81,2019-03-23,7,645,0,0,10573
81,2019-03-23,8,587,0,0,8875
81,2019-03-23,9,412,0,0,9134
81,2019-03-23,10,173,0,0,3803
81,2019-03-23,11,437,0,0,7151
81,2019-03-23,12,508,0,0,6879
81,2019-03-23,13,750,0,0,10957
82,2019-03-24,0,87,0,0,2477
82,2019-03-24,1,71,0,0,1746
82,2019-03-24,2,124,0,0,2338
82,2019-03-24,3,280,0,0,3888
82,2019-03-24,4,489,0,0,6585
82,2019-03-24,5,274,0,0,3514
82,2019-03-24,6,643,0,0,9623
82,2019-03-24,7,645,0,0,10573
82,2019-03-24,8,587,0,0,8874
82,2019-03-24,9,412,0,0,9134
82,2019-03-24,10,173,0,0,3803
82,2019-03-24,11,437,0,0,7151
82,2019-03-24,12,508,0,0,6879
82,2019-03-24,13,750,0,0,10957
83,2019-03-25,0,87,0,0,2477
83,2019-03-25,1,71,0,0,1745
83,2019-03-25,2,124,0,0,2337
83,2019-03-25,3,280,0,0,3887
83,2019-03-25,4,489,0,0,6584
83,2019-03-25,5,274,0,0,3514
83,2019-03-25,6,643,0,0,9623
83,2019-03-25,7,645,0,0,10572
83,2019-03-25,8,587,0,0,8874
83,2019-03-25,9,412,0,0,9134
83,2019-03-25,10,173,0,0,3803
83,2019-03-25,11,437,0,0,7151
83,2019-03-25,12,508,0,0,6878
83,2019-03-25,13,750,0,0,10956
84,2019-03-26,0,87,0,0,2477
84,2019-03-26,1,71,0,0,1745
84,2019-03-26,2,124,0,0,2337
84,2019-03-26,3,276,0,0,3863
84,2019-03-26,4,490,0,0,6584
84,2019-03-26,5,275,0,0,3514
84,2019-03-26,6,646,0,0,9622
84,2019-03-26,7,649,0,0,10572
84,2019-03-26,8,591,0,0,8874
84,2019-03-26,9,416,0,0,9134
84,2019-03-26,10,174,0,0,3803
84,2019-03-26,11,440,0,0,7150
84,2019-03-26,12,511,0,0,6878
84,2019-03-26,13,754,0,0,10956
85,2019-03-27,0,87,0,0,2477
85,2019-03-27,1,71,0,0,1745
85,2019-03-27,2,124,0,0,2337
85,2019-03-27,3,276,0,0,3863
85,2019-03-27,4,490,0,0,6584
85,2019-03-27,5,275,0,0,3514
85,2019-03-27,6,646,0,0,9622
85,2019-03-27,7,649,0,0,10572
85,2019-03-27,8,591,0,0,8873
85,2019-03-27,9,416,0,0,9134
85,2019-03-27,10,174,0,0,3803
85,2019-03-27,11,440,0,0,7150
85,2019-03-27,12,511,0,0,6878
85,2019-03-27,13,754,0,0,10956
86,2019-03-28,0,87,0,0,2477
86,2019-03-28,1,71,0,0,1745
86,2019-03-28,2,124,0,0,2337
86,2019-03-28,3,276,0,0,3862
86,2019-03-28,4,490,0,0,6584
86,2019-03-28,5,275,0,0,3514
86,2019-03-28,6,646,0,0,9622
86,2019-03-28,7,649,0,0,10572
86,2019-03-28,8,591,0,0,8873
86,2019-03-28,9,416,0,0,9134
86,2019-03-28,10,174,0,0,3803
86,2019-03-28,11,440,0,0,7150
86,2019-03-28,12,511,0,0,6878
86,2019-03-28,13,754,0,0,10956
87,2019-03-29,0,87,0,0,2477
87,2019-03-29,1,71,0,0,1744
87,2019-03-29,2,124,0,0,2337
87,2019-03-29,3,276,0,0,3862
87,2019-03-29,4,490,0,0,6584
87,2019-03-29,5,275,0,0,3514
87,2019-03-29,6,646,0,0,9622
87,2019-03-29,7,649,0,0,10572
87,2019-03-29,8,591,0,0,8873
87,2019-03-29,9,416,0,0,9134
87,2019-03-29,10,174,0,0,3803
87,2019-03-29,11,440,0,0,7150
87,2019-03-29,12,511,0,0,6877
87,2019-03-29,13,754,0,0,10956
88,2019-03-30,0,87,0,0,2477
88,2019-03-30,1,71,0,0,1744
88,2019-03-30,2,124,0,0,2337
88,2019-03-30,3,276,0,0,3862
88,2019-03-30,4,490,0,0,6583
88,2019-03-30,5,275,0,0,3513
88,2019-03-30,6,646,0,0,9621
88,2019-03-30,7,649,0,0,10571
88,2019-03-30,8,591,0,0,8873
88,2019-03-30,9,416,0,0,9134
88,2019-03-30,10,174,0,0,3803
88,2019-03-30,11,440,0,0,7150
88,2019-03-30,12,511,0,0,6877
88,2019-03-30,13,754,0,0,10955
89,2019-03-31,0,87,0,0,2477
89,2019-03-31,1,71,0,0,1744
89,2019-03-31,2,124,0,0,2337
89,2019-03-31,3,276,0,0,3862
89,2019-03-31,4,490,0,0,6583
89,2019-03-31,5,275,0,0,3513
89,2019-03-31,6,646,0,0,9621
89,2019-03-31,7,649,0,0,10570
89,2019-03-31,8,591,0,0,8872
89,2019-03-31,9,416,0,0,9133
89,2019-03-31,10,174,0,0,3802
89,2019-03-31,11,440,0,0,7150
89,2019-03-31,12,511,0,0,6877
89,2019-03-31,13,754,0,0,10955
90,2019-04-01,0,87,0,0,2477
90,2019-04-01,1,71,0,0,1744
90,2019-04-01,2,124,0,0,2337
90,2019-04-01,3,276,0,0,3862
90,2019-04-01,4,490,0,0,6583
90,2019-04-01,5,275,0,0,3513
90,2019-04-01,6,646,0,0,9621
90,2019-04-01,7,649,0,0,10570
90,2019-04-01,8,591,0,0,8872
90,2019-04-01,9,416,0,0,9133
90,2019-04-01,10,174,0,0,3802
90,2019-04-01,11,440,0,0,7150
90,2019-04-01,12,511,0,0,6877
90,2019-04-01,13,754,0,0,10955
91,2019-04-02,0,87,0,0,2477
91,2019-04-02,1,71,0,0,1744
91,2019-04-02,2,124,0,0,2337
91,2019-04-02,3,272,0,0,3837
91,2019-04-02,4,491,0,0,6583
91,2019-04-02,5,275,0,0,3513
91,2019-04-02,6,649,0,0,9621
91,2019-04-02,7,654,0,0,10570
91,2019-04-02,8,595,0,0,8872
91,2019-04-02,9,420,0,0,9133
91,2019-04-02,10,176,0,0,3802
91,2019-04-02,11,443,0,0,7149
91,2019-04-02,12,514,0,0,6877
91,2019-04-02,13,758,0,0,10955
92,2019-04-03,0,87,0,0,2477
92,2019-04-03,1,71,0,0,1744
92,2019-04-03,2,124,0,0,2337
92,2019-04-03,3,272,0,0,3837
92,2019-04-03,4,491,0,0,6583
92,2019-04-03,5,275,0,0,3513
92,2019-04-03,6,649,0,0,9621
92,2019-04-03,7,654,0,0,10570
92,2019-04-03,8,595,0,0,8872
92,2019-04-03,9,420,0,0,9133
92,2019-04-03,10,176,0,0,3802
92,2019-04-03,11,443,0,0,7149
92,2019-04-03,12,514,0,0,6877
92,2019-04-03,13,758,0,0,10955
93,2019-04-04,0,87,0,0,2476
93,2019-04-04,1,71,0,0,1744
93,2019-04-04,2,124,0,0,2337
93,2019-04-04,3,272,0,0,3837
93,2019-04-04,4,491,0,0,6582
93,2019-04-04,5,275,0,0,3512
93,2019-04-04,6,649,0,0,9620
93,2019-04-04,7,654,0,0,10570
93,2019-04-04,8,595,0,0,8872
93,2019-04-04,9,420,0,0,9133
93,2019-04-04,10,176,0,0,3802
93,2019-04-04,11,443,0,0,7148
93,2019-04-04,12,514,0,0,6877
93,2019-04-04,13,758,0,0,10955
94,2019-04-05,0,87,0,0,2476
94,2019-04-05,1,71,0,0,1744
94,2019-04-05,2,124,0,0,2336
94,2019-04-05,3,272,0,0,3837
94,2019-04-05,4,491,0,0,6582
94,2019-04-05,5,275,0,0,3512
94,2019-04-05,6,649,0,0,9620
94,2019-04-05,7,654,0,0,10570
94,2019-04-05,8,595,0,0,8872
94,2019-04-05,9,420,0,0,9133
94,2019-04-05,10,176,0,0,3802
94,2019-04-05,11,443,0,0,7148
94,2019-04-05,12,514,0,0,6877
94,2019-04-05,13,758,0,0,10954
95,2019-04-06,0,87,0,0,2475
95,2019-04-06,1,71,0,0,1744
95,2019-04-06,2,124,0,0,2336
95,2019-04-06,3,272,0,0,3836
95,2019-04-06,4,491,0,0,6582
95,2019-04-06,5,275,0,0,3512
95,2019-04-06,6,649,0,0,9620
95,2019-04-06,7,654,0,0,10570
95,2019-04-06,8,595,0,0,8872
95,2019-04-06,9,420,0,0,9133
95,2019-04-06,10,176,0,0,3802
95,2019-04-06,11,443,0,0,7148
95,2019-04-06,12,514,0,0,6877
95,2019-04-06,13,758,0,0,10954
96,2019-04-07,0,87,0,0,2475
96,2019-04-07,1,71,0,0,1744
96,2019-04-07,2,124,0,0,2336
96,2019-04-07,3,272,0,0,3836
96,2019-04-07,4,491,0,0,6582
96,2019-04-07,5,275,0,0,3512
96,2019-04-07,6,649,0,0,9620
96,2019-04-07,7,654,0,0,10569
96,2019-04-07,8,595,0,0,8872
96,2019-04-07,9,420,0,0,9132
96,2019-04-07,10,176,0,0,3802
96,2019-04-07,11,443,0,0,7148
96,2019-04-07,12,514,0,0,6876
96,2019-04-07,13,758,0,0,10954
97,2019-04-08,0,87,0,0,2475
97,2019-04-08,1,71,0,0,1744
97,2019-04-08,2,124,0,0,2336
97,2019-04-08,3,272,0,0,3836
97,2019-04-08,4,491,0,0,6582
97,2019-04-08,5,275,0,0,3512
97,2019-04-08,6,649,0,0,9619
97,2019-04-08,7,654,0,0,10569
97,2019-04-08,8,595,0,0,8871
97,2019-04-08,9,420,0,0,9132
97,2019-04-08,10,176,0,0,3802
97,2019-04-08,11,443,0,0,7148
97,2019-04-08,12,514,0,0,6876
97,2019-04-08,13,758,0,0,10954
98,2019-04-09,0,87,0,0,2475
98,2019-04-09,1,71,0,0,1744
98,2019-04-09,2,124,0,0,2336
98,2019-04-09,3,267,0,0,3812
98,2019-04-09,4,493,0,0,6582
98,2019-04-09,5,276,0,0,3512
98,2019-04-09,6,652,0,0,9619
98,2019-04-09,7,657,0,0,10570
98,2019-04-09,8,599,0,0,8871
98,2019-04-09,9,422,0,0,9132
98,2019-04-09,10,178,0,0,3801
98,2019-04-09,11,446,0,0,7148
98,2019-04-09,12,517,0,0,6876
98,2019-04-09,13,762,0,0,10954
99,2019-04-10,0,87,0,0,2475
99,2019-04-10,1,71,0,0,1744
99,2019-04-10,2,124,0,0,2336
99,2019-04-10,3,267,0,0,3812
99,2019-04-10,4,493,0,0,6580
99,2019-04-10,5,276,0,0,3511
99,2019-04-10,6,652,0,0,9618
99,2019-04-10,7,657,0,0,10570
99,2019-04-10,8,599,0,0,8871
99,2019-04-10,9,422,0,0,9132
99,2019-04-10,10,178,0,0,3801
